id	name	type	faction	rarity	cost	stats	abilities
21	Goldsworn Recruit	Champion	Crimson	Common	1	2/1	Swiftstrike
22	Coppercoil Sprite	Champion	Crimson	Common	1	1/1	Swiftstrike
23	Minted Sentry	Champion	Crimson	Common	1	2/2	Swiftstrike
27	Penny Ante Scout	Champion	Crimson	Common	1	2/1	Swiftstrike
28	Bullion Sentinel	Champion	Crimson	Uncommon	3	2/3	Quickdraw
29	Tarnished Brute	Champion	Crimson	Uncommon	2	3/1	obj(Scorch t=on_cast e=damage_relic v=2) | Quickdraw | Overrun
30	Coinflip Imp	Champion	Crimson	Common	1	2/1	Swiftstrike | Intimidate
31	Siege Vaulter	Champion	Crimson	Rare	3	3/2	obj(Scorch t=on_cast e=damage_relic v=2) | Swiftstrike | Overrun
33	Mint Guard	Champion	Crimson	Rare	3	2/4	Quickdraw
35	Quick Deal	Spell	Crimson	Common	1	null/null	obj(Quick Deal t=on_cast e=draw_cards v=1)
36	Gold Rush	Spell	Crimson	Common	2	null/null	obj(Gold Rush t=on_cast e=ramp_search_land v=1)
38	Payday Advance	Spell	Crimson	Common	1	null/null	obj(Payday Advance t=on_cast e=draw_cards v=1)
39	Hostile Takeover	Spell	Crimson	Common	3	null/null	obj(Hostile Takeover t=on_cast e=damage_all_enemies v=2)
40	Penny-pincher	Champion	Crimson	Uncommon	3	1/4	Quickdraw
61	Canopy Scout	Champion	Sunforged	Uncommon	3	3/2	Overrun
62	Mossback Beetle	Champion	Sunforged	Rare	3	2/4	Keen Eye | Guard
63	Thornback Boar	Champion	Sunforged	Uncommon	4	3/3	Overrun
64	Rootgrinder Elephant	Champion	Sunforged	Legendary	5	4/4	obj(Overrun t=static e=trample v=0) | obj(Stampede t=attacks e=create_token v=1) | obj(Keen Eye t=static e=vigilance v=0)
65	Feral Prowler	Champion	Sunforged	Uncommon	3	3/1	Swiftstrike
66	Sporecap Drake	Champion	Sunforged	Uncommon	4	3/3	Flying | obj(Spore Trail t=enter_battlefield e=ramp_search_land v=1)
67	Verdant Colossus	Champion	Sunforged	Legendary	5	5/5	obj(Overrun t=static e=trample v=0) | obj(Verdant Aura t=static e=pump_all_champions v=1) | obj(Keen Eye t=static e=vigilance v=0)
68	Briarfox Stalker	Champion	Sunforged	Uncommon	3	2/3	Keen Eye | obj(Pathfinder t=enter_battlefield e=ramp_search_land v=1)
69	Fungal Husk	Champion	Sunforged	Uncommon	4	4/2	Swiftstrike
70	Ancient Treant	Champion	Sunforged	Mythic	5	3/6	destroy_enchantment | Keen Eye | Overrun
71	Wildwood Alpha	Champion	Sunforged	Mythic	4	4/3	Overrun | obj(Alpha Call t=enter_battlefield e=ramp_search_land v=1)
